"constituencyraw","nppraw","pncraw","ndcraw","dfp","dpp","cppraw","rpd","indraw","valid_votesraw","rejected_votes","total_votes_castraw","registered_voters_raw","turnoutraw","pct_rejectedraw","constituency_pre_recode.x","npptot","ndctot","valid_votes","registered_voters","total_votes_cast","two_party_vote_cons","ndc_prop_two_party_cons","ndc_cons","regionname","fid_c230","dist130","c230_id_g","const230_g","Group.1","constituency_pre_recode.y","district_pre_recode","district1","sumndc_dist170","sumtwoparty_dist170","ndc_share_2p_dist170","valid_votes_dist170","rejected_votes_dist170","total_votes_cast_dist170","registered_voters_dist170","turnout_reg_voters","ndc_pct_tot_dist170","remove","district_170"
"UPPER DENKYIRA EAST"," 18,578 "," 76 "," 9,480 ",51,23," 960 ",18," 56 "," 29,242 ",979," 30,221 ",42721,"70.74%","3.24%","upper denkyira east",18578,9480,29242,42721,30221,28058,0.337871551785587,0.324191231789891,"CENTRAL",71,"UPPER DENKYIRA",318,"UPPER DENKYIRA EAST","upper denkyira east","upper denkyira east","upper denkyira east","upper denkyira east",9480,28058,0.337871551785587,29242,979,30221,42721,0.707403852906065,0.324191231789891,0,"upper denkyira east"
"UPPER DENKYIRA WEST"," 10,668 "," 136 "," 6,291 ",54,22," 690 ",8," 28 "," 17,897 ",603," 18,500 ",23999,"77.09%","3.26%","upper denkyira west",10668,6291,17897,23999,18500,16959,0.370953476030426,0.351511426496061,"CENTRAL",72,"UPPER DENKYIRA",319,"UPPER DENKYIRA WEST","upper denkyira west","upper denkyira west","upper denkyira west","upper denkyira west",6291,16959,0.370953476030426,17897,603,18500,23999,0.770865452727197,0.351511426496061,0,"upper denkyira west"
"UPPER MANYA"," 6,148 "," 92 "," 15,027 ",9,26," 1,120 ",15," 28 "," 22,465 ",700," 23,165 ",35036,"66.12%","3.02%","upper manya",6148,15027,22465,35036,23165,21175,0.709657615112161,0.668907188960605,"EASTERN",93,"MANYA KROBO",421,"UPPER MANYA","upper manya","upper manya","upper manya","upper manya",15027,21175,0.709657615112161,22465,700,23165,35036,0.661177075008563,0.668907188960605,0,"upper manya"
"WA CENTRAL","17343","667","25214",142,38,"346",49,"80"," 43,879 ",1351," 45,230 ",62896,"72%","3%","wa central",17343,25214,43879,62896,45230,42557,0.592475973400381,0.574625675152123,NA,NA,NA,NA,NA,NA,NA,"wa","wa",25214,42557,0.592475973400381,43879,1351,45230,62896,0.719123632663444,0.574625675152123,0,"wa"
"WA EAST","10436","418","9898",168,65,"111",68,"241"," 21,405 ",1134," 22,539 ",32298,"70%","5%","wa east",10436,9898,21405,32298,22539,20334,0.486770925543425,0.462415323522541,"UPPER WEST",163,"WA",808,"WA EAST","wa east","wa east","wa east","wa east",9898,20334,0.486770925543425,21405,1134,22539,32298,0.697845067806056,0.462415323522541,0,"wa east"
"WA WEST","5460","272","13917",154,81,"207",295,"1860"," 22,246 ",2637," 24,883 ",33611,"74%","11%","wa west",5460,13917,22246,33611,24883,19377,0.71822263508283,0.625595612694417,"UPPER WEST",164,"WA",810,"WA WEST","wa west","wa west","wa west","wa west",39131,61934,0.631817741466723,66125,3988,70113,96507,0.726506885510896,0.591773156899811,0,"wa west"
"WALEWALE"," 12,913 "," 4,747 "," 14,940 ",159,40," 161 ",60," 68 "," 33,088 ",1418," 34,506 ",45756,"75.41%","4.11%","walewale",12913,14940,33088,45756,34506,27853,0.536387462750871,0.451523210831721,"NORTHERN",137,"WEST MAMPRUSI",622,"WALAWALE","mamprusi west","walawale","mamprusi west","mamprusi west",21303,39118,0.544583056393476,44911,1931,46842,62017,0.755309028169695,0.474338135423393,0,"mamprusi west"
"WENCHI"," 17,649 "," 188 "," 14,134 ",142,23," 155 ",13," 53 "," 32,357 ",976," 33,333 ",51858,"64.28%","2.93%","wenchi",17649,14134,32357,51858,33333,31783,0.444703143189756,0.436814290570819,"BRONG AHAFO",53,"WENCHI",224,"WENCHI","wenchi","wenchi","wenchi","wenchi",14134,31783,0.444703143189756,32357,976,33333,51858,0.642774499595048,0.436814290570819,0,"wenchi"
"WULENSI"," 13,152 "," 362 "," 12,333 ",88,34," 253 ",209," 426 "," 26,857 ",1410," 28,267 ",36418,"77.62%","4.99%","wulensi",13152,12333,26857,36418,28267,25485,0.483931724543849,0.459209889414305,"NORTHERN",125,"NANUMBA",610,"WULENSI","nanumba south","wulensi","nanumba south","nanumba south",12333,25485,0.483931724543849,26857,1410,28267,36418,0.776182107748915,0.459209889414305,0,"nanumba south"
"YAPEI/KUSAWGU"," 11,461 "," 280 "," 13,531 ",143,48," 170 ",27," 79 "," 25,739 ",1138," 26,877 ",39753,"67.61%","4.23%","yapei kusawgu",11461,13531,25739,39753,26877,24992,0.541413252240717,0.525700299156921,"NORTHERN",136,"WEST GONJA",603,"YAPEI/KUSAWGU","gonja central","yapei kusawgu","gonja central","gonja central",13531,24992,0.541413252240717,25739,1138,26877,39753,0.676099916987397,0.525700299156921,0,"gonja central"
"YILO KROBO"," 11,335 "," 120 "," 22,165 ",70,41," 652 ",16," 48 "," 34,447 ",966," 35,413 ",53160,"66.62%","2.73%","yilo krobo",11335,22165,34447,53160,35413,33500,0.661641791044776,0.643452259993613,"EASTERN",100,"YILO KROBO",428,"YILO KROBO","yilo krobo","yilo krobo","yilo krobo","yilo krobo",22165,33500,0.661641791044776,34447,966,35413,53160,0.666158765989466,0.643452259993613,0,"yilo krobo"
"ZABZUGU/TATALE"," 17,927 "," 177 "," 13,427 ",124,51," 416 ",42," 89 "," 32,253 ",1513," 33,766 ",43552,"77.53%","4.48%","zabzugu tatale",17927,13427,32253,43552,33766,31354,0.428238821203036,0.416302359470437,"NORTHERN",141,"ZABZUGU/TATALE",626,"ZABZUGU/TATALE","zabzugu tatale","zabzugu tatale","zabzugu tatale","zabzugu tatale",13427,31354,0.428238821203036,32253,1513,33766,43552,0.775303085966201,0.416302359470437,0,"zabzugu tatale"
"ZEBILLA"," 9,337 "," 771 "," 18,681 ",204,97," 291 ",124," 1,083 "," 30,588 ",1642," 32,230 ",44261,"72.82%","5.09%","zebilla",9337,18681,30588,44261,32230,28018,0.666749946462988,0.610729697920753,"UPPER EAST",146,"BAWKU WEST",704,"ZEBILLA","bawku west","zebilla","bawku west","bawku west",18681,28018,0.666749946462988,30588,1642,32230,44261,0.728180565283206,0.610729697920753,0,"bawku west"
