"constituencyraw","nppraw","pncraw","ndcraw","dfp","dpp","cppraw","rpd","indraw","valid_votesraw","rejected_votes","total_votes_castraw","registered_voters_raw","turnoutraw","pct_rejectedraw","constituency_pre_recode.x","npptot","ndctot","valid_votes","registered_voters","total_votes_cast","two_party_vote_cons","ndc_prop_two_party_cons","ndc_cons","regionname","fid_c230","dist130","c230_id_g","const230_g","Group.1","constituency_pre_recode.y","district_pre_recode","district1","sumndc_dist170","sumtwoparty_dist170","ndc_share_2p_dist170","valid_votes_dist170","rejected_votes_dist170","total_votes_cast_dist170","registered_voters_dist170","turnout_reg_voters","ndc_pct_tot_dist170","remove","district_170"
"NEW JUABEN NORTH"," 16,438 "," 64 "," 6,780 ",61,11," 164 ",9," 32 "," 23,559 ",414," 23,973 ",34429,"69.63%","1.73%","new juaben north",16438,6780,23559,34429,23973,23218,0.292014816090964,0.287788106456131,"EASTERN",94,"NEW JUABEN",422,"NEW JUABEN NORTH","new juaben","new juaben north","new juaben","new juaben",28757,77533,0.370900132846659,78604,957,79561,110549,0.71968991126107,0.365846521805506,0,"new juaben"
"NINGO-PRAMPRAM"," 4,557 "," 90 "," 20,477 ",117,49," 245 ",15," 20 "," 25,570 ",563," 26,133 ",38138,"68.52%","2.15%","ningo prampram",4557,20477,25570,38138,26133,25034,0.817967564112807,0.80082127493156,"GREATER ACCRA",104,"DANGBE WEST",510,"NINGO-PAPRAM","dangbe west","ningo papram","dangbe west","dangbe west",36596,46934,0.779733242425534,47966,1094,49060,69556,0.705330956351717,0.762957094608681,0,"dangbe west"
"NKAWKAW"," 27,937 "," 113 "," 10,724 ",71,27," 486 ",29," 267 "," 39,654 ",1010," 40,664 ",57916,"70.21%","2.48%","nkawkaw",27937,10724,39654,57916,40664,38661,0.277385478906391,0.27043929994452,"EASTERN",91,"KWAHU SOUTH",419,"NKAWKAW","kwahu west","nkawkaw","kwahu west","kwahu west",10724,38661,0.277385478906391,39654,1010,40664,57916,0.702120312176255,0.27043929994452,0,"kwahu west"
"NKORANZA NORTH"," 9,258 "," 106 "," 8,120 ",77,13," 129 ",10," 45 "," 17,758 ",625," 18,383 ",28301,"64.96%","3.40%","nkoranza north",9258,8120,17758,28301,18383,17378,0.467257451950742,0.457258700304088,"BRONG AHAFO",43,"NKORANZA",213,"NKORANZA NORTH","nkoranza north","nkoranza north","nkoranza north","nkoranza north",8120,17378,0.467257451950742,17758,625,18383,28301,0.649553019327939,0.457258700304088,0,"nkoranza north"
"NKORANZA SOUTH"," 15,894 "," 137 "," 16,936 ",113,62," 164 ",14," 28 "," 33,348 ",1020," 34,368 ",46428,"74.02%","2.97%","nkoranza south",15894,16936,33348,46428,34368,32830,0.515869631434663,0.507856543121027,"BRONG AHAFO",44,"NKORANZA",214,"NKORANZA SOUTH","nkoranza south","nkoranza south","nkoranza south","nkoranza south",16936,32830,0.515869631434663,33348,1020,34368,46428,0.740242956836392,0.507856543121027,0,"nkoranza south"
"NKWANTA NORTH"," 9,807 "," 335 "," 10,334 ",121,40," 284 ",41," 253 "," 21,215 ",940," 22,155 ",29233,"75.79%","4.24%","nkwanta north",9807,10334,21215,29233,22155,20141,0.513082766496202,0.487108178175819,"VOLTA",182,"NKWANTA",918,"NKWANTA NORTH","nkwanta north","nkwanta north","nkwanta north","nkwanta north",10334,20141,0.513082766496202,21215,940,22155,29233,0.757876372592618,0.487108178175819,0,"nkwanta north"
"NKWANTA SOUTH"," 11,890 "," 250 "," 18,603 ",197,48," 87 ",14," 59 "," 31,148 ",973," 32,121 ",46037,"69.77%","3.03%","nkwanta south",11890,18603,31148,46037,32121,30493,0.610074443314859,0.597245409015025,"VOLTA",183,"NKWANTA",919,"NKWANTA SOUTH","nkwanta south","nkwanta south","nkwanta south","nkwanta south",18603,30493,0.610074443314859,31148,973,32121,46037,0.697721398005952,0.597245409015025,0,"nkwanta south"
"NORTH DAYI"," 3,458 "," 109 "," 30,566 ",87,23," 357 ",10," 13 "," 34,623 ",587," 35,210 ",54034,"65.16%","1.67%","north dayi",3458,30566,34623,54034,35210,34024,0.898365859393369,0.882823556595327,"VOLTA",180,"KPANDO",920,"NORTH DAYI","north dayi","north dayi","north dayi","north dayi",30566,34024,0.898365859393369,34623,587,35210,54034,0.651626753525558,0.882823556595327,0,"north dayi"
"NSUTA/KWAMANG"," 17,403 "," 112 "," 6,903 ",101,20," 103 ",61," 369 "," 25,072 ",931," 26,003 ",34349,"75.70%","3.58%","nsuta kwamang",17403,6903,25072,34349,26003,24306,0.284003949642064,0.27532705807275,"ASHANTI",29,"SEKYERE WEST",137,"NSUFA-KWAMANG","sekyere central","nsufa kwamang","sekyere central","sekyere central",6903,24306,0.284003949642064,25072,931,26003,34349,0.757023494133745,0.27532705807275,0,"sekyere central"
"OBUASI"," 48,919 "," 203 "," 24,315 ",99,29," 1,060 ",14," 26 "," 74,665 ",1140," 75,805 ",104850,"72.30%","1.50%","obuasi",48919,24315,74665,104850,75805,73234,0.332017915176011,0.325654590504252,"ASHANTI",4,"ADANSI WEST",129,"OBUASI","obuasi","obuasi","obuasi","obuasi",24315,73234,0.332017915176011,74665,1140,75805,104850,0.722985216976633,0.325654590504252,0,"obuasi"
"ODOTOBRI"," 23,828 "," 72 "," 3,136 ",47,14," 366 ",16," 48 "," 27,527 ",659," 28,186 ",36954,"76.27%","2.34%","odotobri",23828,3136,27527,36954,28186,26964,0.116303219106957,0.113924510480619,"ASHANTI",11,"AMANSIE EAST",109,"ODOTOBRI","amansie central","odotobri","amansie central","amansie central",3136,26964,0.116303219106957,27527,659,28186,36954,0.76273204524544,0.113924510480619,0,"amansie central"
"OFFINSO-NORTH"," 14,349 "," 131 "," 10,779 ",147,17," 75 ",11," 68 "," 25,577 ",761," 26,338 ",39154,"67.27%","2.89%","offinso north",14349,10779,25577,39154,26338,25128,0.42896370582617,0.421433318997537,"ASHANTI",24,"OFFINSO",130,"OFFINSO NORTH","offinso north","offinso north","offinso north","offinso north",10779,25128,0.42896370582617,25577,761,26338,39154,0.672677121111508,0.421433318997537,0,"offinso north"
"OFFINSO-SOUTH"," 26,354 "," 137 "," 11,337 ",95,15," 115 ",29," 34 "," 38,116 ",652," 38,768 ",52386,"74.00%","1.68%","offinso south",26354,11337,38116,52386,38768,37691,0.300787986521981,0.297434148389128,"ASHANTI",25,"OFFINSO",131,"OFFINSO SOUTH","offinso","offinso south","offinso","offinso",11337,37691,0.300787986521981,38116,652,38768,52386,0.740045050204253,0.297434148389128,0,"offinso"
"OFOASE/AYIREBI"," 16,973 "," 95 "," 9,260 ",76,32," 374 ",8," 104 "," 26,922 ",1020," 27,942 ",40163,"69.57%","3.65%","ofoase ayirebi",16973,9260,26922,40163,27942,26233,0.352990508138604,0.343956615407473,"EASTERN",80,"BIRIM NORTH",409,"OFOASE/AYEREBI","akyem mansa","ofoase ayerebi","akyem mansa","akyem mansa",9260,26233,0.352990508138604,26922,1020,27942,40163,0.695714961531758,0.343956615407473,0,"akyem mansa"
"PRESTEA/HUNI-VALLEY"," 24,021 "," 166 "," 23,937 ",181,97," 3,713 ",28," 91 "," 52,234 ",1697," 53,931 ",79792,"67.59%","3.15%","prestea huni valley",24021,23937,52234,79792,53931,47958,0.499124233704491,0.458264731783896,"WESTERN",204,"WASSA WEST",1021,"PRESTA-HUNIVALLEY","prestea huni valley","presta hunivalley","prestea huni valley","prestea huni valley",23937,47958,0.499124233704491,52234,1697,53931,79792,0.675894826549027,0.458264731783896,0,"prestea huni valley"
"PRU"," 11,266 "," 272 "," 19,309 ",143,55," 187 ",51," 447 "," 31,730 ",1741," 33,471 ",56404,"59.34%","5.20%","pru",11266,19309,31730,56404,33471,30575,0.631529026982829,0.608540813110621,"BRONG AHAFO",35,"ATEBUBU",215,"PRU","pru","pru","pru","pru",19309,30575,0.631529026982829,31730,1741,33471,56404,0.593415360612722,0.608540813110621,0,"pru"
